sample_id,bc_id,carcass_id,lp_amp_cycles,bc_amp_cycles,lp_batch,pool,date_collected,species,sample_type,ct_1,ct_2,ct_3,max_ct,mean_ct,culture_same_sample,culture_pos_carcass,sample_conc,neb_protocol,init_lib_conc,conc_of_lib,new_lib_conc,cap_lib_conc,cap_lib_reamp,polyomics,gc,reads,reads_mapped,frac_mapped_reads,duplicates,frac_duplicates,mean_coverage,sufficient_quality,redo,tayasnotes,letter
AN16-06-T,5,AN16-06,5,12,1,NA,29/04/2017,sheep,tissue ,28,27,27,28,27.3,NA,yes,1.4,Chapter 1,0.472,yes,2.12,0.16,yes,NA,35.14%,506661,400699,0.79,115477,0.23,5.6689,no,yes,NA,T
AN16-06-S,9,AN16-06,5,12,1,NA,29/04/2017,sheep,swab,27,27,28,28,27.3,NA,yes,3.2,Chapter 1,0.507,yes,NR,0.11,yes,no evidence of lib,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,S
AN16-06-B,11,AN16-06,5,12,1,NA,29/04/2017,sheep,blood,19,18,20,20,19,yes,yes,3.1,Chapter 1,6.85,yes,14.2,13.2,NA,NA,35.83%,16591056,16276668,0.98,12161927,0.73,222.8031,yes,NA,NA,B
AN16-06-I,38,AN16-06,6,12,2,NA,29/04/2017,sheep,insect,37,35,35,37,35.6,NA,yes,0.55,Chapter 1,8.7,yes,5.92,0.37,yes,NA,35.78%,8077492,3605778,0.45,3166016,0.39,48.5101,yes,NA,NA,I
AN16-120 -S,14,AN16-120 ,5,12,1,NA,23/07/2016,sheep,swab,20,20,20,20,20,NA,yes,2.1,Chapter 1,5.27,yes,14.7,15.7,NA,NA,35.13%,9591405,9462513,0.99,5936684,0.62,124.1258,yes,NA,got mixed together with 16,S
AN16-130-T,16,AN16-130,5,12,1,NA,17/10/2016,sheep,tissue,22.5,23,24,24,23,NA,NA,2.62,Chapter 1,8.98,yes,20.2,2.7,NA,NA,36.42%,6759537,6378605,0.94,3447693,0.51,85.7935,yes,NA,got mixed together with 14,T
AN16-130-S,21,AN16-130,5,12,1,NA,17/10/2016,sheep,swab,35,35,35,35,35,NA,NA,2.5,Chapter 1,14.6,NA,NA,0.28,yes,NA,40.50%,1917616,177765,0.09,91074,0.05,1.9672,no,no,NA,S
AN16-132-T,10,AN16-132,5,12,1,NA,21/03/2017,cow,tissue ,21,20,22,22,21,NA,yes,1.1,Chapter 1,0.211,yes,NR,NA,yes,no evidence of lib,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,T
AN16-132-I,41,AN16-132,6,12,2,NA,21/03/2017,cow,insect,26,26,26,26,26,NA,NA,4.25,Chapter 1,41.4,NA,NA,3.06,yes,NA,36.25%,6613045,3076320,0.47,1333374,0.2,41.4812,yes,NA,NA,I
AN16-135-2-T,1,AN16-135-2,5,12,1,NA,20/10/2016,unknown,tissue,19,19,18,19,18.6,NA,yes,13,Chapter 1,18.3,NA,NA,4,NA,NA,35.56%,12051078,10827103,0.9,7072141,0.59,153.3439,yes,NA,NA,T
AN16-14-S,4,AN16-14,5,12,1,NA,16/09/2016,cow,swab,21,22,22,22,21.6,yes,yes,3.2,Chapter 1,5.44,yes,14.1,4.8,NA,NA,35.66%,12641387,12440102,0.98,8705408,0.69,177.2271,yes,NA,NA,S
AN16-144-S,43,AN16-144,6,12,2,NA,18/10/2016,sheep,swab,24,25,26,26,25,NA,NA,2.72,Chapter 1,35,NA,NA,2.98,yes,NA,35.89%,5512223,5079399,0.92,2370391,0.43,70.4527,yes,NA,NA,S
AN16-145-B,1,AN16-145,6,15,3,1,19/10/2016,sheep,blood,25,23,24,25,24,NA,NA,1,Chapter 1,12,NA,NA,66,NA,NA,35.81%,14521439,14378453,0.99,10286259,0.71,203.1211,yes,NA,NA,B
AN16-145-S,3,AN16-145,6,15,3,1,19/10/2016,sheep,swab,20,19,22,22,20.3,NA,NA,3.5,Chapter 1,37,NA,NA,66,NA,NA,35.91%,30552317,29570728,0.97,25101501,0.82,391.7289,yes,NA,NA,S
AN16-149-1-T,17,AN16-149-1,5,12,1,NA,21/10/2016,cow,tissue,0,37,0,37,NA,NA,poor qual,0.46,Chapter 1,3.81,yes,11.9,9.8,NA,no reads,NA,NA,NA,NA,NA,NA,NA,no,no,NA,T
AN16-149-2-T,12,AN16-149-2,5,12,1,NA,21/10/2016,cow,tissue,26,25,26,26,25.6,NA,NA,23.1,Chapter 1,15.5,NA,NA,15.9,NA,NA,35.73%,24239072,24096093,0.99,19665964,0.81,336.3496,yes,NA,NA,T
AN16-150-T,15,AN16-150,5,12,1,NA,21/10/2016,cow,tissue,35,34,35,35,34.6,NA,NA,1.51,Chapter 1,7.84,yes,17.5,0.68,yes,NA,38.91%,4185796,114627,0.03,35861,0.01,1.3752,no,no,got mixed together with 13,T
AN16-150-B,20,AN16-150,5,12,1,NA,21/10/2016,cow,blood,31,29,30,31,30,NA,NA,1.51,Chapter 1,6.12,yes,13.9,0.78,yes,NA,35.73%,5584518,3076200,0.55,1152702,0.21,43.5224,yes,NA,NA,B
AN16-152R-T,19,AN16-152R,5,12,1,NA,25/11/2016,sheep,tissue,23,26,26,26,25,NA,NA,11.8,Chapter 1,14.1,NA,NA,0.68,yes,NA,35.92%,5153208,3308283,0.64,1305182,0.25,45.1807,yes,NA,NA,T
AN16-152R-S,22,AN16-152R,5,12,1,NA,25/11/2016,sheep,swab,27,26,30,30,27.6,NA,NA,3.03,Chapter 1,8.04,yes,19.4,1.76,yes,NA,35.14%,4976661,3344466,0.67,1260640,0.25,45.1192,yes,NA,NA,S
AN16-165-B,7,AN16-165,5,12,1,NA,26/01/2017,sheep,blood,33,33,35,35,33.7,NA,yes,1.5,Chapter 1,3.26,yes,5.26,0.2,yes,NA,46.46%,1122920,178756,0.16,163148,0.15,1.7086,no,no,NA,B
AN16-165-S,13,AN16-165,5,12,1,NA,26/01/2017,sheep,swab,20,20,20,20,20,yes,yes,1,Chapter 1,4.24,yes,9.94,8.6,NA,extra reads?,35.53%,31802124,31471536,0.99,26928620,0.85,409.824,yes,NA,got mixed together with 15,S
AN16-171-S,48,AN16-171,6,12,2,NA,14/12/2016,sheep,swab,30,30,30,30,30,NA,NA,2,Chapter 1,8.14,yes,3.6,0.36,yes,NA,38.68%,1087020,36524,0.03,11906,0.01,0.4686,no,maybe?,labeled as T accidentally,S
AN16-174-T,37,AN16-174,6,12,2,NA,14/12/2016,zebra,tissue,21,20,21,21,20.6,NA,NA,25.4,Chapter 1,63.2,NA,NA,2.9,NA,NA,35.56%,6712265,5628361,0.84,2783590,0.41,79.7885,yes,NA,got mixed together with 34?,T
AN16-175-T,4,AN16-175,6,15,3,1,30/04/2017,sheep,tissue ,23,23,22,23,22.6,NA,NA,4.5,Chapter 1,63,NA,NA,66,NA,NA,36.04%,518614,307673,0.59,23869,0.05,4.1122,no,maybe?,NA,T
AN16-79-T,4A22,AN16-79,6,NA,4,NA,04/09/2016,sheep,tissue,24,25,26,26,25,NA,NA,8.3,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN16-90-S,42,AN16-90,6,12,2,NA,17/10/2016,sheep,swab,29,30,31,31,30,NA,NA,2.15,Chapter 1,43.6,NA,NA,0.77,yes,NA,36.12%,3442235,1211461,0.35,331990,0.1,16.8083,maybe,maybe?,NA,S
AN17-01-A-T,6,AN17-01-A,5,12,1,NA,30/04/2017,goat,tissue ,24,23,24,24,23.6,yes,yes,4,Chapter 1,5.51,yes,17,2.28,yes,NA,35.61%,6239250,5338555,0.86,2619136,0.42,76.1586,yes,NA,NA,T
AN17-01-A-B,18,AN17-01-A,5,12,1,NA,30/04/2017,goat,blood,18,18,19,19,18.3,yes,yes,1.4,Chapter 1,5.6,yes,15.1,1.27,yes,NA,36.03%,4859084,542206,0.11,73909,0.02,7.5349,no,yes,NA,B
AN17-18-B,8,AN17-18,5,12,1,NA,20/02/2017,donkey,blood,27,26,28,28,27,NA,yes,1.3,Chapter 1,5.15,yes,12.9,2.04,yes,NA,35.77%,7233271,5670006,0.78,2836517,0.39,78.7603,yes,NA,NA,B
AN17-182-T,4A7,AN17-182,6,NA,4,NA,19/08/2017,goat,tissue,22,21,22,22,21.6,NA,NA,21.1,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-183-T,4A13,AN17-183,6,14,4,NA,19/08/2017,sheep,tissue,24,24,25,25,24.6,NA,NA,22.9,Chapter 2,6.48,NA,NA,0.45,NA,NA,36.11%,3672220,1339442,0.36,304398,0.21,18.1968,maybe,NA,NA,T
AN17-184-T,4A10,AN17-184,6,NA,4,NA,19/08/2017,goat,tissue,25,24,25,25,24.3,NA,NA,53.5,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-184-T,4B32,AN17-184,7,NA,4,NA,19/08/2017,goat,tissue,25,24,25,25,24.3,NA,NA,53.5,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-186-T,4A9,AN17-186,6,14,4,NA,20/08/2017,sheep,tissue,24,23,25,25,24,NA,NA,40,Chapter 2,8.4,NA,NA,0.57,NA,NA,36.12%,4518945,3379102,0.75,1215289,0.37,47.3999,yes,NA,NA,T
AN17-187-T,4A14,AN17-187,6,14,4,NA,20/08/2017,sheep,tissue,24,23,24,24,23.6,NA,NA,17.2,Chapter 2,20.2,NA,NA,0.91,NA,NA,35.42%,8207201,6238908,0.76,3216738,0.53,83.5617,yes,NA,NA,T
AN17-189-T,4A16,AN17-189,6,14,4,NA,21/08/2017,sheep,tissue,23,24,25,25,24,NA,NA,21.5,Chapter 2,16.7,NA,NA,0.74,NA,NA,35.76%,6278605,3815619,0.61,1489348,0.4,52.3618,yes,NA,NA,T
AN17-190-T,4A18,AN17-190,6,14,4,NA,21/08/2017,sheep,tissue,19,19,19,19,19,NA,KCRI,36.4,Chapter 2,22.1,NA,NA,1.54,NA,NA,35.62%,8219824,7478501,0.91,4154441,0.58,102.5776,yes,NA,NA,T
AN17-191-T,4A1,AN17-191,6,14,4,NA,21/08/2017,sheep,tissue,24,24,25,25,24.3,NA,NA,51,Chapter 2,8.26,NA,NA,0.48,NA,NA,36.38%,3709420,1630167,0.44,374496,0.23,22.0258,maybe,NA,NA,T
AN17-194-T,4A8,AN17-194,6,14,4,NA,22/08/2017,sheep,tissue,24,22,23,24,23,NA,NA,24.1,Chapter 2,7.29,NA,NA,0.58,NA,NA,36.62%,6724161,4609947,0.69,2285497,0.46,64.4429,yes,NA,NA,T
AN17-196-T,4A12,AN17-196,6,14,4,NA,22/08/2017,sheep,tissue,25,25,27,27,25.6,NA,NA,9.08,Chapter 2,10.5,NA,NA,0.53,NA,NA,35.37%,5188761,2955738,0.57,1117821,0.35,36.6227,yes,NA,NA,T
AN17-197-T,4A20,AN17-197,6,14,4,NA,22/08/2017,sheep,tissue,21,21,23,23,21.6,NA,KCRI,7.03,Chapter 2,8.43,NA,NA,0.89,NA,NA,35.56%,6335285,5601169,0.88,2753741,0.43,74.2377,yes,NA,NA,T
AN17-20-S,44,AN17-20,6,12,2,NA,23/02/2017,sheep,swab,28,27,26,28,27,NA,NA,2.13,Chapter 1,24.2,NA,NA,1.54,yes,NA,36.21%,3630505,2099675,0.58,662984,0.18,29.4719,maybe,NA,NA,S
AN17-200-T,4A19,AN17-200,6,14,4,NA,23/08/2017,sheep,tissue,20,20,20,20,20,NA,KCRI,23,Chapter 2,15.8,NA,NA,1.75,NA,NA,35.71%,9098994,8541244,0.94,5079096,0.56,114.6993,yes,NA,NA,T
AN17-211-T,4A4,AN17-211,6,NA,4,NA,24/08/2017,sheep,tissue,20,20,20,20,20,NA,NA,15.3,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-212-S,4B3,AN17-212,7,14,5,2,24/08/2017,sheep,swab,27,24,26,27,25.6,NA,NA,5.3,Chapter 1,29,NA,NA,1.92,NA,NA,36.45%,7091578,4847264,0.68,2241657,0.47,65.4371,yes,NA,NA,S
AN17-216-B,4B2,AN17-216,7,NA,4,NA,25/08/2017,sheep,blood,23,23,24,24,23.3,NA,NA,13.4,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B
AN17-217-T,4A6,AN17-217,6,NA,4,NA,26/08/2017,sheep,tissue,25,23,23,25,23.6,NA,NA,26.2,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-218-T,4A15,AN17-218,6,NA,4,NA,26/08/2017,sheep,tissue,24,24,25,25,24.3,NA,NA,40.3,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-219-T,4A3,AN17-219,6,14,4,NA,26/08/2017,sheep,tissue,25,24,25,25,24.6,NA,NA,13.9,Chapter 2,9.8,NA,NA,0.63,NA,NA,35.54%,6339110,4344218,0.69,1906735,0.43,57.0832,yes,NA,NA,T
AN17-22-S,45,AN17-22,6,12,2,NA,23/02/2017,sheep,swab,35,33,36,36,34.6,NA,NA,3.19,Chapter 1,29.4,NA,NA,2.7,yes,NA,42.89%,737434,19493,0.03,8690,0.01,0.1902,no,no,NA,S
AN17-222-T,4A2,AN17-222,6,NA,4,NA,26/08/2017,sheep,tissue,25,24,24,25,24.3,NA,NA,13.3,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-223-T,4A11,AN17-223,6,14,4,NA,26/08/2017,sheep,tissue,22,22,22,22,22,NA,NA,13.1,Chapter 2,8.87,NA,NA,0.75,NA,NA,35.22%,6963198,6001157,0.86,3075828,0.51,78.5351,yes,NA,NA,T
AN17-224-T,4A5,AN17-224,6,NA,4,NA,26/08/2017,sheep,tissue,25,23,25,25,23.6,NA,NA,39.4,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-224-T,4B31,AN17-224,7,NA,4,NA,26/08/2017,sheep,tissue,25,23,25,25,23.6,NA,NA,39.4,NA,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
