sample_id,bc_id,carcass_id,lp_amp_cycles,bc_amp_cycles,lp_batch,pool,date_collected,species,sample_type,ct_1,ct_2,ct_3,max_ct,mean_ct,culture_same_sample,culture_pos_carcass,sample_conc,neb_protocol,init_lib_conc,conc_of_lib,new_lib_conc,cap_lib_conc,cap_lib_reamp,polyomics,gc,reads,reads_mapped,frac_mapped_reads,duplicates,frac_duplicates,mean_coverage,sufficient_quality,redo,tayasnotes,letter
AN17-225-T,4A17,AN17-225,6,14,4,NA,26/08/2017,sheep,tissue,22,23,24,24,23,NA,NA,9.44,Chapter 2,15.9,NA,NA,1.34,NA,NA,35.50%,4457615,4136933,0.93,1670903,0.42,56.4373,yes,NA,NA,T
AN17-228-S,4B1,AN17-228,7,14,5,1,27/08/2017,sheep,swab,28,25,26,28,26.3,NA,NA,4.24,Chapter 1,30.2,NA,NA,1.88,NA,NA,36.72%,3887088,1149383,0.3,280627,0.2,14.539,maybe,NA,NA,S
AN17-26-B,23,AN17-26,5,12,1,NA,27/04/2017,sheep,blood,28,27,28,28,27.6,NA,NA,1.43,Chapter 1,11.8,yes,21.8,2.26,yes,NA,35.77%,5627837,4268497,0.76,1810694,0.32,59.3068,yes,NA,NA,B
AN17-26-S,24,AN17-26,5,12,1,NA,27/04/2017,sheep,swab,30,30,30,30,30,NA,NA,10.6,Chapter 1,13.2,yes,25.8,1.14,yes,NA,38.44%,4726916,184378,0.04,45761,0.01,2.246,no,maybe?,NA,S
AN17-269-T,4B27,AN17-269,7,14,5,1,14/11/2017,sheep,tissue,22,22,23,23,22.3,NA,NA,29.5,Chapter 1,40.4,NA,NA,1.88,NA,NA,36.14%,6777714,2899634,0.43,968677,0.34,40.9884,yes,NA,NA,T
AN17-27-A-T,5,AN17-27-A,6,15,3,2,28/04/2017,sheep,tissue ,20,20,20,20,20,NA,NA,6.2,Chapter 1,23,NA,NA,36,NA,NA,37.09%,8523275,8063884,0.95,4949653,0.58,112.2551,maybe,NA,NA,T
AN17-27-A-S,7,AN17-27-A,6,15,3,2,28/04/2017,sheep,swab,24,24,25,25,24.3,NA,NA,1.5,Chapter 1,30,NA,NA,36,NA,NA,36.42%,1266744,693948,0.55,93795,0.07,9.4919,no,maybe?,NA,S
AN17-271-T,4B25,AN17-271,7,14,5,4,15/11/2017,cow,tissue,24,23,25,25,24,NA,NA,4.95,Chapter 1,39.8,NA,NA,1.51,NA,NA,36.40%,18203893,11717397,0.64,7899367,0.72,166.5728,yes,NA,NA,T
AN17-277-T,4B29,AN17-277,7,14,5,8,16/11/2017,sheep,tissue,23,25,25,25,24.3,NA,NA,14.6,Chapter 1,36.4,NA,NA,1.44,NA,NA,36.08%,8210699,1278792,0.16,229180,0.18,18.1046,maybe,NA,NA,T
AN17-33-T,8,AN17-33,6,NA,3,NA,20/02/2017,sheep,tissue,19,18,19,19,18.6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN17-330-S,26,AN17-330,6,12,2,NA,04/12/2017,wildebeest,swab,34,34,34,34,34,NA,NA,5.3,Chapter 1,48.4,NA,NA,0.39,yes,NA,41.06%,2248054,37646,0.02,17559,0.01,0.3979,no,no,NA,S
AN17-338-S,25,AN17-338,6,12,2,NA,18/12/2017,wildebeest,swab,25,24,26,26,25,NA,NA,0.71,Chapter 1,10.5,yes,6.46,3.02,yes,NA,35.88%,6287649,5642310,0.9,2754748,0.44,80.2204,yes,NA,NA,S
AN17-381-T,4B14,AN17-381,7,14,5,9,17/11/2017,sheep,tissue,27,27,28,28,27.3,NA,NA,23.7,Chapter 1,52,NA,NA,1.29,NA,NA,36.63%,5757315,144244,0.03,16818,0.09,1.7274,no,NA,NA,T
AN17-384-S,4B20,AN17-384,7,14,5,5,20/11/2017,sheep,swab,26,26,27,27,26.3,NA,NA,3.22,Chapter 1,30.2,NA,NA,1.41,NA,NA,36.01%,5248934,2776524,0.53,900564,0.32,37.4721,yes,NA,NA,S
AN17-387-S,4B21,AN17-387,7,14,5,4,21/11/2017,sheep,swab,25,25,25,25,25,NA,NA,4.73,Chapter 1,33.3,NA,NA,1.51,NA,NA,36.02%,4373446,1614623,0.37,444302,0.25,20.0087,maybe,NA,NA,S
AN17-389-S,4B19,AN17-389,6,NA,4,NA,23/11/2017,sheep,swab,18,17,18,18,17.6,NA,NA,4.22,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S
AN17-394-T,4B28,AN17-394,7,14,5,7,24/11/2017,sheep,tissue,25,26,26,26,25.6,NA,NA,3.63,Chapter 1,40.7,NA,NA,1.41,NA,NA,36.07%,6689621,2615765,0.39,788648,0.31,37.2055,yes,NA,NA,T
AN17-398-S,4B22,AN17-398,7,14,5,9,25/11/2017,sheep,swab,24,24,25,25,24.3,NA,NA,4.49,Chapter 1,23.7,NA,NA,1.29,NA,NA,36.28%,11005487,8846673,0.8,5373069,0.64,122.4431,yes,NA,NA,S
AN17-399-T,4B16,AN17-399,7,14,5,2,25/11/2017,sheep,tissue,19,19,20,20,19.3,NA,NA,11.6,Chapter 1,41.2,NA,NA,1.92,NA,NA,37.32%,14275029,10272499,0.72,6846477,0.67,144.067,maybe,NA,NA,T
AN17-400-S,4B18,AN17-400,7,14,5,8,24/11/2017,sheep,swab,25,25,26,26,25.3,NA,NA,11.1,Chapter 1,38.8,NA,NA,1.44,NA,NA,37.17%,7733383,1042232,0.13,269235,0.19,12.7897,maybe,NA,NA,S
AN17-42-T,6,AN17-42,6,15,3,2,26/02/2017,sheep,tissue ,25,25,21,25,23.6,NA,NA,5.2,Chapter 1,58,NA,NA,36,NA,NA,34.88%,21957714,21613190,0.98,17462029,0.8,266.7936,maybe,NA,NA,T
AN17-45-S,4A23,AN17-45,6,NA,4,NA,24/07/2017,sheep,swab,27,26,29,29,27.3,NA,NA,3.62,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S
AN17-47-S,4A24,AN17-47,6,14,4,NA,25/07/2017,sheep,swab,25,24,26,26,25,NA,NA,8.53,Chapter 2,6.26,NA,NA,0.39,NA,NA,35.56%,1977312,1327521,0.67,267807,0.2,17.6369,maybe,NA,NA,S
AN17-91-T,4A21,AN17-91,6,NA,4,NA,04/07/2017,goat,tissue,22,21,21,22,21.3,NA,KCRI,47.2,NA,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T
AN18-404-T,4B11,AN18-404,7,14,5,3,19/01/2018,sheep,tissue,23,23,24,24,23.3,NA,NA,32.3,Chapter 1,48,NA,NA,2.97,NA,NA,36.67%,3059194,569288,0.19,71799,0.12,7.5118,no,NA,NA,T
AN18-405-T,4B9,AN18-405,7,14,5,3,20/01/2018,sheep,tissue,19,19,20,20,19.3,NA,NA,44.2,Chapter 1,52,NA,NA,2.97,NA,NA,36.44%,11407722,8922834,0.78,5496132,0.64,117.6333,yes,NA,NA,T
AN18-408-S,30,AN18-408,6,12,2,NA,22/01/2018,wildebeest,swab,32,32,33,33,32.3,NA,NA,3.64,Chapter 1,49.4,NA,NA,0.36,yes,NA,38.33%,2924962,211025,0.07,86528,0.03,2.5243,no,no,NA,S
AN18-409-T,4B10,AN18-409,7,14,5,2,22/01/2018,sheep,tissue,23,23,24,24,23.3,NA,NA,29.6,Chapter 1,49.5,NA,NA,1.92,NA,NA,36.78%,4373325,984698,0.23,181663,0.18,13.4188,maybe,NA,NA,T
AN18-410-T,27,AN18-410,6,12,2,NA,22/01/2018,wildebeest,tissue,28,27,28,28,27.6,NA,NA,1.4,Chapter 1,26.2,NA,NA,0.89,yes,NA,35.69%,6707865,4052094,0.6,1803122,0.27,56.5507,yes,NA,NA,T
AN18-410-S,28,AN18-410,6,12,2,NA,22/01/2018,wildebeest,swab,23,24,24,24,23.6,NA,NA,17.5,Chapter 1,56.8,NA,NA,2.12,yes,NA,35.32%,5960855,4240947,0.71,1921042,0.32,59.7887,yes,NA,NA,S
AN18-415-B,35,AN18-415,6,12,2,NA,23/01/2018,zebra,blood,29,29,30,30,29.6,NA,NA,1,Chapter 1,33.8,NA,NA,1.05,yes,NA,36.03%,4355617,1478006,0.34,477483,0.11,20.5073,maybe,maybe?,NA,B
AN18-415-S,36,AN18-415,6,12,2,NA,23/01/2018,zebra,swab,27,27,27,27,27,NA,NA,1,Chapter 1,21.6,NA,NA,2.38,yes,NA,35.27%,5463362,4968214,0.91,2409364,0.44,70.8379,yes,NA,NA,S
AN18-416-S,33,AN18-416,6,12,2,NA,24/01/2018,zebra,swab,26,26,26,26,26,NA,NA,2.2,Chapter 1,34.2,NA,NA,1.77,yes,NA,35.87%,5535535,3958251,0.72,1664209,0.3,56.2948,yes,NA,NA,S
AN18-416-T,34,AN18-416,6,12,2,NA,24/01/2018,zebra,tissue,28,26,27,28,27,NA,NA,7.8,Chapter 1,36.2,NA,NA,1.28,yes,NA,35.53%,4221522,1273635,0.3,331511,0.08,17.9044,maybe,maybe?,got mixed together with 37?,T
AN18-417-S,32,AN18-417,6,12,2,NA,24/01/2018,wildebeest,swab,24,25,27,27,25.3,NA,NA,2.3,Chapter 1,29,NA,NA,2.32,yes,NA,35.50%,1177624,1077984,0.92,232829,0.2,14.9916,maybe,maybe?,NA,S
AN18-418-T,29,AN18-418,6,12,2,NA,24/01/2018,wildebeest,tissue,21,22,21,22,21.3,NA,NA,36.7,Chapter 1,93.2,NA,NA,3.28,yes,NA,35.67%,4857853,2698780,0.56,853455,0.18,38.5214,yes,NA,NA,T
AN18-419-T,31,AN18-419,6,12,2,NA,25/01/2018,wildebeest,tissue,19,19,20,20,19.3,NA,NA,24.5,Chapter 1,50.8,NA,NA,3.2,NA,NA,35.67%,6738371,6286138,0.93,3236387,0.48,89.3653,yes,NA,NA,T
AN18-420-T,4B12,AN18-420,7,14,5,7,25/01/2018,sheep,tissue,25,24,24,25,24.3,NA,NA,40.6,Chapter 1,45.6,NA,NA,1.41,NA,NA,36.52%,7592899,1213676,0.16,241507,0.18,16.136,maybe,NA,NA,T
AN18-421-T,4B5,AN18-421,7,14,5,6,25/01/2018,sheep,tissue,22,22,23,23,22.3,NA,NA,19.8,Chapter 1,42.8,NA,NA,3.24,NA,NA,36.62%,4013872,1305618,0.33,307845,0.22,16.3428,maybe,NA,NA,T
AN18-423-T,4B26,AN18-423,7,14,5,5,13/02/2018,sheep,tissue,25,24,25,25,24.6,NA,NA,11.9,Chapter 1,39.6,NA,NA,1.41,NA,NA,36.33%,12391487,3795790,0.31,1531419,0.41,53.6837,yes,NA,NA,T
AN18-427-S,4B24,AN18-427,7,14,5,7,14/02/2018,goat ,swab,27,28,28,28,27.6,NA,NA,2.65,Chapter 1,29.2,NA,NA,1.41,NA,NA,35.90%,2908862,999641,0.34,183592,0.17,13.2394,maybe,NA,NA,S
AN18-428-T,4B17,AN18-428,7,14,5,9,15/02/2018,cow,tissue,24,24,25,25,24.3,NA,NA,21.7,Chapter 1,48.9,NA,NA,1.29,NA,NA,36.18%,6423745,1634951,0.25,404916,0.24,21.2253,maybe,NA,NA,T
AN18-431-T,4B8,AN18-431,7,14,5,3,19/02/2018,sheep,tissue,23,24,24,24,23.6,NA,NA,17,Chapter 1,46.4,NA,NA,2.97,NA,NA,36.67%,3559179,2809932,0.79,933314,0.33,38.7884,yes,NA,NA,T
AN18-432-T,4B13,AN18-432,7,14,5,5,19/02/2018,goat,tissue,27,26,27,27,26.6,NA,NA,21.9,Chapter 1,48.2,NA,NA,1.41,NA,NA,38.45%,4916516,1011559,0.21,412492,0.16,11.9104,maybe,NA,NA,T
AN18-433-T,4B15,AN18-433,7,14,5,3,20/02/2018,sheep,tissue,21,20,23,23,21.3,NA,NA,4.46,Chapter 1,45.2,NA,NA,2.97,NA,NA,36.33%,18912041,16471494,0.87,12394648,0.78,215.1671,yes,NA,NA,T
AN18-434-T,4B4,AN18-434,7,14,5,8,20/02/2018,sheep,tissue,22,22,23,23,22.3,NA,NA,31.2,Chapter 1,32.3,NA,NA,1.44,NA,NA,36.86%,7646495,2150206,0.28,647411,0.29,28.1162,maybe,NA,NA,T
AN18-436-T,4B7,AN18-436,7,14,5,4,21/02/2018,sheep,tissue,26,27,27,27,26.6,NA,NA,13.7,Chapter 1,41.7,NA,NA,1.51,NA,NA,36.38%,4968108,141086,0.03,16212,0.09,1.6796,no,NA,NA,T
AN18-437-S,4B23,AN18-437,7,14,5,6,21/02/2018,goat ,swab,22,21,22,22,21.6,NA,NA,2.4,Chapter 1,31.2,NA,NA,3.24,NA,NA,35.72%,21984025,20704568,0.94,16316792,0.85,283.2001,yes,NA,NA,S
AN18-438-T,4B30,AN18-438,7,14,5,1,21/02/2018,sheep,tissue,24,24,24,24,24,NA,NA,2.79,Chapter 1,40.4,NA,NA,1.88,NA,NA,35.98%,11603137,8840588,0.76,5282456,0.64,126.1198,yes,NA,NA,T
AN18-440-T,4B6,AN18-440,7,14,5,6,22/02/2018,sheep,tissue,25,25,27,27,25.6,NA,NA,13.5,Chapter 1,39.1,NA,NA,3.24,NA,NA,35.78%,2060573,289689,0.14,21511,0.07,3.7619,no,NA,NA,T
AN18-447-S,39,AN18-447,6,12,2,NA,18/05/2018,zebra,swab,0,23,24,24,23.5,NA,NA,6.9,Chapter 1,73.6,NA,NA,4.2,NA,NA,35.15%,13039740,12413144,0.95,8588272,0.66,176.704,yes,NA,NA,S
AN18-447-B,40,AN18-447,6,12,2,NA,18/05/2018,zebra,blood,24,23,24,24,23.6,NA,NA,1.5,Chapter 1,52,NA,NA,8.3,NA,NA,35.16%,18626048,18070854,0.97,14014760,0.75,258.176,yes,NA,NA,B
ANTH2-T,46,ANTH 2,6,12,2,NA,23/11/2016,cow,tissue,21,21,23,23,21.6,NA,NA,1.93,Chapter 1,61.8,NA,NA,14.2,NA,NA,35.47%,19362746,19094533,0.99,14698839,0.76,271.6437,yes,NA,NA,T
ANTH4-T,47,ANTH 4,6,12,2,NA,23/11/2016,cow,tissue,24,25,25,25,24.6,NA,NA,2.58,Chapter 1,35,NA,NA,2.3,NA,NA,35.47%,6240987,5125399,0.82,2403871,0.39,72.2288,yes,NA,NA,T
LNA-1S-T,2,LNA-1 ,5,12,1,NA,07/10/2016,sheep,tissue,32,35,35,35,34,yes,yes,15,Chapter 1,0.497,yes,2.44,0.3,yes,NA,34.20%,1671625,1329366,0.8,502668,0.3,18.3538,maybe,maybe?,NA,T
LNA-2-T,3,LNA-2 ,5,12,1,NA,07/10/2016,goat,tissue,21,20,22,22,21,yes,yes,5.7,Chapter 1,0.134,yes,NR,0.18,yes,no evidence of lib,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,T
MNA-S-T,trial,MNA-S,7,12,trial,NA,?-?-2016,unknown,tissue,19,20,20,20,19.7,NA,NA,3,NA,31.6,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,T
NOB-T,2,NOB,6,NA,3,NA,27/09/2016,sheep,tissue,20,20,21,21,20.3,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T