Stat,B. anthracis,M. amphoriforme
%_bases_above_15_max,100,95.8
%_bases_above_15_mean,69.27311828,55.61071429
%_bases_above_15_median,97.3,79.2
%_bases_above_15_min,0,0
%_bases_above_15_q25,43.9,2.15
%_bases_above_15_q75,99.8,90.75
%_bases_above_15_sd,39.11749064,40.68832613
Cap.Eff_max,0.992131205,0.843749294
Cap.Eff_mean,0.611071781,0.293608369
Cap.Eff_median,0.697119999,0.235841378
Cap.Eff_min,0.022501461,0.002749514
Cap.Eff_q25,0.332474369,0.041454967
Cap.Eff_q75,0.894503767,0.453520067
Cap.Eff_sd,0.312989567,0.265637663
Mapped.reads.in.baited.region_max,32291415,3056077
Mapped.reads.in.baited.region_mean,5442402.656,836116.3214
Mapped.reads.in.baited.region_median,3589129,738985
Mapped.reads.in.baited.region_min,29490,10390
Mapped.reads.in.baited.region_q25,1426460,121919.75
Mapped.reads.in.baited.region_q75,6186433,1505501
Mapped.reads.in.baited.region_sd,6531908.131,763742.1413
Mean.DOC_max,449.39,183.05
Mean.DOC_mean,69.65892473,42.90589286
Mean.DOC_median,43.19,26.945
Mean.DOC_min,0.17,0.08
Mean.DOC_q25,14.77,5.755
Mean.DOC_q75,74.73,64.6825
Mean.DOC_sd,93.63345344,44.52342079
Total.Reads_max,32708157,4247924
Total.Reads_mean,7624145.075,2918091.911
Total.Reads_median,6413796,2989984.5
Total.Reads_min,539623,1082454
Total.Reads_q25,4341887,2575272.25
Total.Reads_q75,8305101,3353986.75
Total.Reads_sd,5941706.828,719518.2816