Sample,Classification (Genus),% Total Reads
07B00774_S16,unclassified,4.67
07B00774_S16,Homo,94.61
08B00436_S7,unclassified,8.72
08B00436_S7,Homo,90.58
08B02193_S8,unclassified,6.17
08B02193_S8,Homo,93.53
08B03746_S9,unclassified,37.08
08B03746_S9,Homo,55.86
08B03746_S9,Lactococcus,4.9
08B04270_S10,unclassified,15.66
08B04270_S10,Homo,82.09
08B04270_S10,Lactococcus,1.57
08B05877_S72,unclassified,30.39
08B05877_S72,Homo,69.31
08B06178_S73,unclassified,47.11
08B06178_S73,Homo,52.47
08B07005_S51,unclassified,13.91
08B07005_S51,Homo,85.12
08B07142_S58,unclassified,38.01
08B07142_S58,Homo,60.68
08B07429_S46,unclassified,9.92
08B07429_S46,Homo,89.43